Event Type,Description,Release Date,Tags
"access.request.cancel","Access request canceled. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request cancellation. Okta Identity Governance API can be used to get more details about the canceled request.","2023.06.0","access","event-hook-eligible"
"access.request.condition.activate","Access request condition activated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition activation. Okta Identity Governance API can be used to get more details about the activated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.create","Access request condition created. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition creation. Okta Identity Governance API can be used to get more details about the created access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.deactivate","Access request condition deactivated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deactivation. Okta Identity Governance API can be used to get more details about the deactivated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.delete","Access request condition deleted. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deletion. Okta Identity Governance API can be used to get more details about the deleted access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.invalidate","Access request condition invalidated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition invalidation. Okta Identity Governance API can be used to get more details about the invalidated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.update","Access request condition updated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition update. Okta Identity Governance API can be used to get more details about the updated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.create","Access request created. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request creation. Okta Identity Governance API can be used to get more details about the created request.","2022.11.0","access","event-hook-eligible"
"access.request.reject","Access request rejected. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request rejection. Okta Identity Governance API can be used to get more details about the rejected request.","2024.05.0","access","event-hook-eligible"
"access.request.resolve","Access request resolved. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request resolution. Okta Identity Governance API can be used to get more details about the resolved request.","2022.11.0","access","event-hook-eligible"
"account.org.add","Org is added to an Aerial account. Triggered when an org is added to an Aerial account. This event is fired in both the Aerial org and the added target org.","2023.10.1","account-service"
"account.org.delete.cancel","Org deletion request is cancelled. Triggered when the deletion request is cancelled. This event is fired in the Aerial org. The recovered org will be in the target.","2024.02.2","account-service"
"account.org.delete.request","Org is requested to be deleted. Triggered when a org is requested to be deleted. This event is fired in the Aerial org. The user or API client who requested the delete will be the actor and the org to be deleted will be in the target.","2024.02.2","account-service"
"account.org.product.update","Products are updated on an org. Triggered when Products are updated on an org. This event is fired only in the Aerial org.","2023.10.1","account-service"
"account.org.status.update","Org status is updated. Triggered when the status of an org is updated. This event is fired only in the Aerial org.","2023.10.1","account-service"
"analytics.feedback.provide","An admin has provided feedback on a detection Okta provided which indicated a change in user or session risk. This can be used to monitor feedback provided by admins in response to Okta determined changes in risk. This event is fired when an admin chooses to provide feedback on a detection event in the admin console.","2023.10.0","risk","security"
"analytics.reports.export.download","A user has downloaded an export file that Okta has generated for a report available in the admin console. This event may be used to identify access by a user to a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user has downloaded the export file. The user that downloaded it may not be the user that requested generation of the export file. See analytics.reports.export.request and analytics.reports.export.generate for related actions.","2022.05.1"
"analytics.reports.export.generate","Okta has generated an export file for a report available in the admin console. This event may be used to identify whether Okta successfully generated the export file that a user requested for a report. This event is primarily useful for troubleshooting if a report fails to generate. This event does not indicate whether a user downloaded the report file. See analytics.reports.export.request and analytics.reports.export.download for related actions.","2022.05.1"
"analytics.reports.export.request","A user has requested that Okta generate an export file for a report available in the admin console. This event may be used to identify a request by a user to export a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user requested the export. It does not indicate that an export file was successfully generated by Okta nor that the export file was accessed by a user. See analytics.reports.export.generate and analytics.reports.export.download for those actions.","2022.05.1"
"app.access_request.approver.approve","Request to access an app was approved by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.approver.deny","Request to access an app was denied by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.delete","Request to access an app was deleted by an administrator.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.deny","Request to access an app was denied after at least one approver denied the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.expire","Request to access an app expired by the system due to lack of approver action.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.grant","Request to access an app was granted after all approvers approved the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.request","Request to access an app was performed by a user.","2017.43","app-instance-request","event-hook-eligible"
"app.ad.api.user_import.account_locked","Active Directory user account set to locked following profile update: user is locked in active directory.","2016.10","ad-app"
"app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value","Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.attribute_invalid_value","Skipping import of user due to an invalid AD attribute.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.missing_required_attribute","Skipping import of user due to a required AD attribute being null.","2011.01","ad-app"
"app.app_instance.csr.generate","Certificate signing request (CSR) generated.","2017.15","app"
"app.app_instance.csr.publish","Certificate signing request (CSR) published.","2017.15","app"
"app.app_instance.csr.revoke","Certificate signing request (CSR) revoked.","2017.15","app"
"app.app_instance.provision_sync_job.completed","Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired, this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.failed","Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired, this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.started","Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"system.iwa.use_default","No primary IWA app found. Using default login.","2016.13","iwa","system"
"system.iwa_agentless.auth","Agentless IWA authentication.","2018.22","iwa","system"
"system.iwa_agentless.auth_after_redirect","Fired after redirection from Agentless DSSO failure. This can be used to track the start of a subsequent authentication request after Agentless DSSO fails. This can also be used for end-to-end tracking of an ADSSO failure to the subsequent authentication it is redirected to by searching for the common stateTokenHash. When fired, this event contains the stateTokenHash which will be common before and after the redirection occurs.","2022.11.2","iwa","system"
"system.iwa_agentless.redirect","Fired when an Agentless DSSO authentication request is redirected to an onprem IWA authentication or the default login page. This can be used to identify when an agentless authentication request resulted in a redirect to an onprem IWA or default login page. This can also be used to identify the potential cause of the redirect. When fired, this event identifies the cause of the redirection. When a custom error page is defined, a redirect event is not always generated when a redirection occurs.","2019.05.4","iwa","system"
"system.iwa_agentless.update","Update to agentless IWA.","2018.22","iwa","system"
"system.iwa_agentless.user.not_found","Fired when a user could not be found during Agentless DSSO authentication, resulting in an authentication failure. This can be used to identify when an agentless authentication request resulted in a failure. The failure could be due to the user not being found in Okta, Okta not being able to connect to AD, or the user not being found in AD.  This can also be used to identify the potential cause of the failure. When fired, this event contains information about the potential cause of the failure.","2019.08.0","iwa","system"
"system.iwa_agentless_kerberos.update","Fires when a Kerberos realm settings is updated by an admin. This event fires when the update is successful or fails. This can be used to audit Kerberos realm setting, and troubleshoot why Kerberos authentication failed. When fired, this event indicates whether Kerberos realm setting update has been successful or failed. This event also indicates the initiator of the event and the current setting for Kerberos Realm. Related events: none, all debugging context is included in this event.","2019.05.4","iwa","system"
"system.ldapi.admin_limit_exceeded","This event indicates that an administrative limit was exceeded when processing an LDAP interface operation. It can be used to audit and debug failures caused by exceeding an administrative limit. This event may occur periodically when an LDAP operation results in a large number of corresponding actions in the Okta directory. These errors are often temporary and will subside when Okta has processed the actions. Contact Okta support if you see such errors consistently over the course of a day or more.","2023.03.0","ldapi"
"system.ldapi.bind","Fired when a user performs a BIND to LDAP Interface. Can be used to identify when a user attempted to perform an LDAP authentication for audit or debugging purposes. Note that the firing of this event is subject to LDAPi event filtering rules.","2018.10","ldapi"
"system.ldapi.search","Fired when a user performs a SEARCH to LDAP Interface. Can be used to identify when a user attempted to perform a search on LDAP Interface for audit or debugging purposes. Note that the firing of this event is subject to LDAPi event filtering rules.","2018.10","ldapi"
"system.ldapi.unbind","Fired when a user performs an UNBIND to LDAP Interface. Can be used to identify when a user attempted to end an LDAP Interface session for audit or debugging purposes. Note that the firing of this event is subject to LDAPi event filtering rules.","2018.10","ldapi"
"system.log_stream.lifecycle.activate","Log stream activated. This event can be used to track and audit when a user activates a log stream. When fired, this event indicates that a user activated a log stream configuration.","2021.09.1","event-hook-eligible","log-stream"
"system.log_stream.lifecycle.create","Log stream created. This event can be used to track and audit when a user creates a log stream. When fired, this event indicates that a user created a log stream configuration.","2021.09.1","event-hook-eligible","log-stream"
"system.log_stream.lifecycle.deactivate","Log stream deactivated. This event can be used to track and audit when a user or Okta deactivates a log stream. When fired, this event indicates that a user or Okta deactivated a log stream configuration.","2021.09.1","event-hook-eligible","log-stream"
"system.log_stream.lifecycle.delete","Log stream deleted. This event can be used to track and audit when a user deletes a log stream. When fired, this event indicates that a user deleted a log stream configuration.","2021.09.1","event-hook-eligible","log-stream"
"system.log_stream.lifecycle.update","Log stream updated. This event can be used to track and audit when a user updates a log stream. When fired, this event indicates that a user updated a log stream configuration.","2021.09.1","event-hook-eligible","log-stream"
"system.mfa.factor.activate","Activate a new authentication factor. Can be used to identify when an admin has enabled a new factor for authentication. When fired the event will contain details of which factor is enabled.","2021.01.1","admin","mfa"
"system.mfa.factor.deactivate","Deactivate MFA factor. Can be used to identify when an admin has disabled a factor for MFA. When fired the event will contain details of which factor is disabled.","2021.01.1","admin","mfa"
"system.operation.concurrency_limit.violation","Operation concurrency limit violation. This can be used to track if there are too many concurrent operations of the given type.  The operation type information is available in debugData. When fired, this event contains information about the operation such as its actor, type, scope and threshold details. OperationRateLimitType in debugData will indicate the category to which the concurrency limit is being applied (e.g. web_request), OperationRateLimitSubtype defines specific subtypes (e.g. ssws_token) and OperationRateLimitScope will indicate the scope of the rate limit (e.g. token).","2022.07.0","system"
"system.operation.rate_limit.violation","Operation rate limit violation. This can be used to track if an operation is exceeding its rate limit. When fired, this event contains information about the operation such as actor, type, scope and threshold details. OperationRateLimitType in debugData will indicate the category to which the rate limit is being applied (e.g. authenticator_otp_verification), OperationRateLimitSubtype defines specific subtypes (e.g. Email Factor for authenticator_otp_verification) and OperationRateLimitScope will indicate the scope of the rate limit (e.g. user or org level). Formerly, this event was used to indicate blocked SMS/Call transactions, please see system.sms.send*/system.voice.send* for blocked transactions.","2020.12.0","system"
"system.operation.rate_limit.warning","Operation rate limit warning. This can be used to track if an operation is approaching its rate limit. When fired, this event contains information about the operation such as actor, type, scope and threshold details. OperationRateLimitType in debugData will indicate the category to which the rate limit is being applied (e.g. authenticator_otp_verification), OperationRateLimitSubtype defines specific subtypes (e.g. Email, SMS or Voice call for authenticator_otp_verification type) and OperationRateLimitScope will indicate the scope of the rate limit (e.g. user or org level).","2021.01.2","system"
"system.org.captcha.activate","Enable org-wide captcha support. Indicates when org-wide captcha support is enabled, for which pages and using which captcha instance. This event is fired when org admin enables org-wide captcha for any supported pages.","2021.05.1","captcha","system"
"system.org.captcha.deactivate","Disable org-wide captcha support. Indicates when org-wide captcha support is disabled. This event is fired when org admin disables org-wide captcha support for all pages.","2021.05.1","captcha","system"
"system.org.lifecycle.create","Org creation.","2016.51","system"
"system.org.rate_limit.burst","Fired when burst rate limit capacity is activated. This can be used to identify when an API in the Org exceeds standard rate limits and the frequency with which the activities occur. This event is fired after a corresponding warning event. If usage continues on this API the risk is hitting a rate limit violation which will fire a corresponding violation event. The event contains a burst rate limit threshold which informs how much capacity is remaining before a violation occurs.","2022.02.0","system"
"system.org.rate_limit.expiration.warning","Rate limit approaching expiration date.","2018.35","system"
"system.org.rate_limit.violation","Rate limit violation.","2017.02","event-hook-eligible","system"
"system.org.rate_limit.warning","Rate limit warning.","2017.02","event-hook-eligible","system"
"system.org.task.remove","Tasks removed.","2017.33","system"
"system.push.send_factor_verify_push","Fired when a Push notification is sent to a device. Used to notify admins when a push was sent to a user for verification. Note that this event is fired whenever a Push is sent.","2020.06.3","push"
"system.sms.receive_status","Fired when receiving a status update on SMS message from provider. This event can be used by Org Admins to identify users that are/aren't getting one-time passcodes delivered successfully via SMS, provider status can be obtained from status field in debug data. For any system.sms.send_* event, there should be exactly one of this event.","2020.08.4","sms"
"system.sms.send_account_unlock_message","Send self-service account unlock SMS message. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2016.12","sms","system"
"system.sms.send_factor_verify_message","Send second factor auth SMS. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2016.12","sms","system"
"system.sms.send_okta_push_verify_message","Send activate Okta Verify Push for mobile SMS. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2016.12","sms","system"
"system.sms.send_password_reset_message","Send self-service password reset SMS message. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2016.12","sms","system"
"system.sms.send_phone_verification_message","Send phone verification SMS message. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2016.12","event-hook-eligible","sms","system"
"system.theme.update","This event is fired when the theme resource is updated. Developer and org admins can use this event to identify when and how the theme resource was updated. Event details can be used to identify changes made to theme assets including updates to theme hex codes, logo, background image, and favicon. This event also tracks which combination of theme assets was applied to end users pages such as the sign-in page, error pages, and email templates.","2021.08.0","admin"
"system.voice.receive_status","Fired when receiving a status update on voice call from provider. This event can be used by Org Admins to identify users that are/aren't getting one-time passcodes delivered successfully via voice call, provider status can be obtained from status field in debug data. For any system.voice.send_* event, there should be exactly one of this event.","2020.08.4","voice"
"system.voice.send_account_unlock_call","Send self-service account unlock call. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2017.44","voice"
"system.voice.send_call","Send phone call.","2017.44","voice"
"system.voice.send_mfa_challenge_call","Send second factor auth call. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2017.44","voice"
"system.voice.send_password_reset_call","Send self-service password reset call. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2017.44","voice"
"system.voice.send_phone_verification_call","Send phone verification call. As of the 2022.06.0 release this event is also used to identify transactions blocked by Okta, which is indicated by a ""deny"" outcome. Previously, the system.operation.rate_limit.violation was used to identify blocked transactions. Additionally, the method of generating the MobilePhone ID in the event has changed for Okta Classic. It has not changed for Okta Identity Engine.","2017.44","event-hook-eligible","voice"
"task.lifecycle.activate","Activated system task.","2018.15","task"
"task.lifecycle.create","Created system task.","2018.15","task"
"task.lifecycle.deactivate","Deactivated system task.","2018.15","task"
"task.lifecycle.delete","Deleted system task.","2018.15","task"
"task.lifecycle.update","Updated system task.","2018.15","task"
"user.account.expire_password","Fired when the user's Okta password is expired. This can be used to audit cases where a user's password is expired by an administrator. When fired, this event contains information about the user whose password was expired, whether a temporary password was created for the user, or if the user's sessions were revoked.","2024.01.2","account","user"
"user.account.lock","Auto-lock user account for Okta.","2016.02","account","event-hook-eligible","user"
"user.account.lock.limit","This event is fired when a user account has reached the lockout limit. The account will not auto-unlock and a user or client cannot gain access to the account. This event indicates an account that will not be able to log in until remedial action is taken by the account admin. This event can be used to understand the specifics of an account lockout. Often this indicates a client application that is repeatedly attempting to authenticate with invalid credentials such as an old password.","2019.05.0","account","user"
"user.account.preference_update","User preferences updated. This can be used for debugging and auditing purposes. These preferences live outside the user profile.","2023.11.0","account","user"
"user.account.privilege.grant","A User's admin privileges changed. This can be used to audit the provisioning of admin privileges for users. When fired, this event contains information about the type of admin privileges the user currently has.  The list of current privileges contain both individually assigned roles  as well as the ones granted to the user through their group membership. Related events include: USER_ACCOUNT_PRIVILEGE_REVOKE.","2016.15","event-hook-eligible","user"
"user.account.privilege.revoke","All of user's admin privilege revoked. This can be used to audit the deprovisioning of admin privileges from users. When fired, this event indicates the user has no more admin privileges. All of user's privileges were revoked including individually assigned roles  as well as the ones granted to the user through their group membership. Related events include: USER_ACCOUNT_PRIVILEGE_GRANT.","2016.15","event-hook-eligible","user"
"user.account.report_suspicious_activity_by_enduser","User reported suspicious activity. This event is used to identify user account suspicious activity.","2019.01.1","event-based-trigger-eligible","event-hook-eligible","user"
"user.account.reset_password","Fired when the user's Okta password is reset.","2016.15","account","event-hook-eligible","user"
"user.account.unlock","Auto-unlock user account for Okta.","2016.15","account","event-hook-eligible","user"
"user.account.unlock_by_admin","User account unlock by admin.","2016.15","account","user"
"user.account.unlock_failure","Failed to schedule unlock job for user.","2018.23","account","user"
"user.account.unlock_token","Issued recovery token for self-service account unlock.","2017.47","account","user"
"user.account.update_password","User update password for Okta.","2016.15","account","end-user-visible","event-hook-eligible","user"
"user.account.update_primary_email","User primary email updated.","2018.05","account","end-user-visible","user","user-config"
"user.account.update_profile","Update user profile for Okta.","2016.02","account","event-hook-eligible","user","user-config"
"user.account.update_secondary_email","User secondary email updated.","2018.25","account","end-user-visible","user","user-config"
"user.account.update_user_type","Fires when a user changes from one type to another. Can be used to audit when a user gets converted from a contractor to a full-time employee, for example. Data includes the old and new type ids. There may be an accompanying update_profile event if values were changed.","2020.02.0","account","user","user-config"
"user.account.use_token","Invalid self service recovery token used by user.","2016.15","account","user"
"user.authentication.auth","Authenticate user.","2016.02","user"
"user.authentication.auth_unconfigured_identifier","Fired after a user authenticates via a directory instance that is not the highest priority profile source for the user. This can be used to track users that are using an identifier to login which is different from the admin configured identifier for that user which might result in unexpected login results. When fired, this event will contain useful information about the user, the directory instance that was used to login the user, and the directory instance that should have been used instead.","2023.01.2","directory","user"
"user.authentication.auth_via_AD_agent","Authenticate user with AD agent.","2016.18","directory","user"
"user.authentication.auth_via_IDP","Authenticate user via IDP.","2016.18","user"
"user.authentication.auth_via_LDAP_agent","Authenticate user via LDAP agent.","2016.18","directory","user"
"user.authentication.auth_via_inbound_SAML","Authenticate user via inbound SAML.","2016.27","user"
"user.authentication.auth_via_inbound_delauth","Authenticate user via inbound delauth.","2016.02","user"
"user.authentication.auth_via_iwa","Authenticate user via IWA.","2016.02","user"
"user.authentication.auth_via_mfa","Authentication of user via MFA. For Okta Classic orgs, this event will only fire for second factor verifications, whereas for Identity Engine orgs, this event will fire for both primary and second factor verifications.","2016.02","event-hook-eligible","mfa"
"user.authentication.auth_via_radius","Authentication of user via Radius.","2016.18","app","radius"
"user.authentication.auth_via_richclient","Authentication of a user via Rich Client.","2016.18","user"
"user.authentication.auth_via_social","Authenticate user with social login.","2016.18","user"
"user.authentication.authenticate","Authentication via device trust certificate.","2017.44","device-trust-authentication","event-hook-eligible","user"
"user.authentication.dsso_via_non_priority_source","Desktop Single Sign On (DSSO) authentication has been attempted using a profile source that is not the highest priority profile source for the given Okta user. This event may indicate a potential security risk as the highest priority profile source is often expected to be used in this flow. The presence of this event may be benign, or it may indicate an attempt to authenticate the user from a compromised Active Directory domain. The debugContext object in this event contains useful information regarding the Okta user, the prioritized profile source, and the profile source that was used in the DSSO attempt.","2024.03.0","directory","user"
"user.authentication.slo","User single logout out (SLO) from app.","2016.11","user"
"user.authentication.sso","Fired when a user performs a single sign-on (SSO) to an app instance and contains the client details of the user. Can be used to identify when a user attempted to sign into an application for audit or debugging purposes. Note that the event is fired even when the sign-on is unsuccessful.","2016.11","event-hook-eligible","user"
"user.authentication.universal_logout","This event is fired when an admin or system account triggers Universal Logout against an app instance. It contains the app instance details for which the Universal Logout API was fired. This event identifies when applications have had Universal Logout triggered for audit or debugging purposes. This event is only fired once. It's only fired for applications that have been configured for Universal Logout. You can configure it under Risk policy, Continuous Access policy, or in an admin-initiated Clear User Session.","2024.02.2","event-hook-eligible","session","user"
"user.authentication.verify","Verify user identity.","2017.27","end-user-visible","user"
"user.credential.enroll","Device Trust certificate enrollment.","2017.45","device-trust-cert-distribution-and-binding","event-hook-eligible","user"
"user.identity_snapshot.attestation.create","Create identity snapshot attestation for a user. This event can be used by administrators to audit identity snapshot attestations minted for a user. The user and the application are in the event, signifying which user the attestation token is being minted for, and which application is requesting it.","2020.09.3","attestation","user"
"user.import.password","Fired when a user has successfully logged in to Okta and an attempt to import their Password has been made. This can be used to understand if a user password import attempt was successful or if it failed. If the attempt failed, the password import will be tried again on a subsequent successful login. When fired, this event contains information about the import type, and whether or not the password import was successful. If the import is successful, it is safe to ""clean up"" that user from an external system. If the import failed, Okta will continue retrying the import during every successful authentication attempt until the password is successfully imported. Check the failure reason for details about whether any action is needed for the import to succeed.","2020.05.1","credential","event-hook-eligible","import","user"
"user.lifecycle.activate","Activate Okta user.","2016.13","event-hook-eligible","user"
"user.lifecycle.create","Create Okta user.","2016.02","event-hook-eligible","user"
"user.lifecycle.deactivate","Deactivate Okta user.","2016.02","event-hook-eligible","user"
"user.lifecycle.delete.completed","Delete Okta user completed.","2016.29","user"
"user.lifecycle.delete.initiated","Delete Okta user initiated.","2016.29","event-hook-eligible","user"
"user.lifecycle.jit.error.read_only","Failed to JIT create user.","2018.06","user"
"user.lifecycle.password_mass_expiry","Mass expire all users' passwords initiated.","2018.04","user"
"user.lifecycle.reactivate","Reactivate Okta user.","2016.13","event-hook-eligible","user"
"user.lifecycle.suspend","Suspend Okta user.","2016.13","event-hook-eligible","user"
"user.lifecycle.unsuspend","Unsuspend Okta user.","2016.13","event-hook-eligible","user"
"user.mfa.attempt_bypass","Attempt bypass of factor.","2016.11","mfa"
"user.mfa.factor.activate","Activate factor or authenticator enrollment method for user. Provides org admins with audit log and oversight utility for an MFA factor when it is activated. When fired, the event contains information about the MFA factor that has been activated, as well as the target user and the user activating the factor. For Identity Engine orgs, this event will fire when an authentication method is enrolled.","2016.11","end-user-visible","event-hook-eligible","mfa"
"user.mfa.factor.deactivate","Reset factor or authenticator enrollment method for user. Provides org admins with audit log and oversight utility for the change in MFA factor lifecycle status when a specific factor is permanently deactivated. When fired, the event contains information about the MFA factor that has been deactivated, as well as the target user and the user deactivating the factor. For Identity Engine orgs, this event will fire when an authentication method is unenrolled.","2016.11","end-user-visible","event-hook-eligible","mfa"
"user.mfa.factor.reset_all","Reset all factors or authenticator enrollments for user. Provides org admins with audit log and oversight utility for the change in MFA factor lifecycle statuses when all MFA factors for a user are permanently deactivated. When fired, the event contains information about the target user for whom all factors have been deactivated, as well as the user resetting the factors. For Identity Engine orgs, this event contains information about a target user for whom all authenticator enrollments have been reset.","2016.11","event-hook-eligible","mfa"
"user.mfa.factor.suspend","Suspend factor or authenticator enrollment method for user. Provides org admins with audit log and oversight utility for the change in MFA factor lifecycle status when a factor is suspended, usually as a result of suspected compromise. When fired, the event contains information about the MFA factor that has been suspended, as well as the target user and the user suspending the factor. When unsuspended, related event user.mfa.factor.unsuspend will be fired.","2020.09.4","event-hook-eligible","mfa","oie-only"
"user.mfa.factor.unsuspend","Unsuspend factor or authenticator enrollment method for user. Provides org admins with audit log and oversight utility for the change in MFA factor lifecycle status when a factor is reactivated from a state of suspension, after it has been determined that the authenticator is secure. When fired, the event contains information about the MFA factor that has been unsuspended, as well as the target user and the user reactivating the suspended factor. Before suspension, related event user.mfa.factor.suspend would have been fired.","2020.09.4","event-hook-eligible","mfa","oie-only"
"user.mfa.factor.update","Update factor for user.","2016.11","event-hook-eligible","mfa"
"user.mfa.okta_verify","Verify user with Okta verify.","2016.11","mfa"
"user.mfa.okta_verify.deny_push","User rejected Okta push verify. This event is triggered in classic V1 API calls. In OIE we use a generic event for factor verification failure: user.authentication.auth_via_mfa with reason INVALID_CREDENTIALS.","2018.03","mfa"
"user.mfa.okta_verify.deny_push_upgrade_needed","Rejected Okta push verify as Upgrade Needed. This can be used to audit events where Okta push verify was rejected as the app needed upgrade. Note that the event is fired when Okta Verify push is rejected. It is possible that the user might have chosen another factor and made successful login as well.","2020.05.0","mfa"
"user.risk.change","Indicates a user's risk level has changed. This can be used to monitor risk level changes for users. This event is fired when Okta determines that a user is associated with activity or context that indicate risk.","2023.01.2","event-hook-eligible","risk","security"
"user.session.access_admin_app","User accessing Okta admin app.","2016.14","admin","app","session","user"
"user.session.clear","Clear user session.","2016.15","event-hook-eligible","session","user"
"user.session.context.change","User session context changed. This event indicates that the context in which the session is being used has changed significantly enough from the context in which the event was created, that re-evaluation of policy may be required. Often this indicates a security issue related to the session.","2023.01.0","session","user"
"user.session.end","User logout from Okta.","2016.02","event-hook-eligible","session","user"
"user.session.expire","Expire user session. This event does not appear in the system logs unless the user explicitly signs out or the user session is revoked by an admin.","2016.15","session","user"
"user.session.impersonation.end","End impersonation session.","2016.09","session","user"
"user.session.impersonation.extend","Extend impersonation session.","2016.09","session","user"
"user.session.impersonation.grant","Enable impersonation grant.","2016.09","session","user"
"user.session.impersonation.initiate","Initiate impersonation session.","2016.09","session","user"
"user.session.impersonation.revoke","Revoke impersonation grant.","2016.09","session","user"
"user.session.start","User login to Okta.","2016.02","end-user-visible","event-hook-eligible","session","user"
"workflows.user.connection.create","This event can be used by any admin or security team member to monitor the creation of new connections for Workflows connectors. The target fields provide information on the user that created the connection, the application for which the connection was created, and the display name the user provided for the connection. Other connection lifecycle events include: workflows.user.connection.revoke, workflows.user.connection.reauthorize, and workflows.user.connection.delete. Note that this event only indicates if a connection was successfully added to the database, and does not distinguish whether or not that connection is valid.","2021.02.1","workflows"
"workflows.user.connection.delete","This event can be used by any admin or security team member to monitor the deletion of existing Workflows connections.  The target fields provide information on the user that deleted the connection, the application for which the connection was deleted, and the display name originally provided for the connection. Other connection lifecycle events include: workflows.user.connection.create, workflows.user.connection.reauthorize, and workflows.user.connection.revoke. Note that for OAuth connections this will often fire with the workflows.user.connection.revoke event.","2021.02.1","workflows"
